"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Polk","146",".32%","94.81%","8",".30%","5.19%","154",".32%"
"Pulaski","100",".22%","90.91%","10",".37%","9.09%","110",".23%"
"Putnam","144",".32%","96.64%","5",".19%","3.36%","149",".31%"
"Quitman","11",".02%","100.00%","","","","11",".02%"
"Rabun","68",".15%","98.55%","1",".04%","1.45%","69",".14%"
"Randolph","69",".15%","95.83%","3",".11%","4.17%","72",".15%"
"Richmond","1,870","4.14%","93.78%","124","4.61%","6.22%","1,994","4.17%"
"Rockdale","364",".81%","96.30%","14",".52%","3.70%","378",".79%"
"Schley","24",".05%","96.00%","1",".04%","4.00%","25",".05%"
"Screven","129",".29%","96.27%","5",".19%","3.73%","134",".28%"
"Seminole","84",".19%","93.33%","6",".22%","6.67%","90",".19%"
"Spalding","604","1.34%","93.35%","43","1.60%","6.65%","647","1.35%"
"Stephens","153",".34%","96.84%","5",".19%","3.16%","158",".33%"
"Stewart","41",".09%","95.35%","2",".07%","4.65%","43",".09%"
"Sumter","216",".48%","96.43%","8",".30%","3.57%","224",".47%"
"Talbot","40",".09%","95.24%","2",".07%","4.76%","42",".09%"
"Taliaferro","8",".02%","100.00%","","","","8",".02%"
"Tattnall","147",".33%","96.08%","6",".22%","3.92%","153",".32%"
"Taylor","77",".17%","97.47%","2",".07%","2.53%","79",".17%"
"Telfair","132",".29%","92.31%","11",".41%","7.69%","143",".30%"
"Terrell","77",".17%","96.25%","3",".11%","3.75%","80",".17%"
"Thomas","315",".70%","96.04%","13",".48%","3.96%","328",".69%"
"Tift","317",".70%","94.63%","18",".67%","5.37%","335",".70%"
"Toombs","274",".61%","91.64%","25",".93%","8.36%","299",".62%"
"Towns","21",".05%","95.45%","1",".04%","4.55%","22",".05%"
"Treutlen","40",".09%","95.24%","2",".07%","4.76%","42",".09%"
"Troup","631","1.40%","94.89%","34","1.26%","5.11%","665","1.39%"
"Turner","76",".17%","98.70%","1",".04%","1.30%","77",".16%"
"Twiggs","41",".09%","95.35%","2",".07%","4.65%","43",".09%"
"Union","45",".10%","93.75%","3",".11%","6.25%","48",".10%"
"Upson","171",".38%","95.53%","8",".30%","4.47%","179",".37%"
"Walker","342",".76%","91.94%","30","1.12%","8.06%","372",".78%"
"Walton","317",".70%","94.63%","18",".67%","5.37%","335",".70%"
"Ware","360",".80%","93.99%","23",".86%","6.01%","383",".80%"
"Warren","47",".10%","94.00%","3",".11%","6.00%","50",".10%"
"Washington","114",".25%","95.80%","5",".19%","4.20%","119",".25%"
"Wayne","169",".37%","94.94%","9",".33%","5.06%","178",".37%"
"Webster","10",".02%","90.91%","1",".04%","9.09%","11",".02%"
"Wheeler","40",".09%","97.56%","1",".04%","2.44%","41",".09%"
"White","69",".15%","95.83%","3",".11%","4.17%","72",".15%"
"Whitfield","711","1.57%","91.39%","67","2.49%","8.61%","778","1.63%"
"Wilcox","67",".15%","95.71%","3",".11%","4.29%","70",".15%"
"Wilkes","73",".16%","94.81%","4",".15%","5.19%","77",".16%"
"Wilkinson","56",".12%","93.33%","4",".15%","6.67%","60",".13%"
"Worth","160",".35%","95.81%","7",".26%","4.19%","167",".35%"
"Total Rported","45,181","100%","94.38%","2,690","100%","5.62%","47,871","100%"
"Not Reported","51",,,"3",,,"54",
"Grand Total","45,232",,,"2,693",,,"47,925",
